marker,position,absolute_pos,n_tokens,emotion,task,split,file_id
so,0.8947368421052632,17,20,5,6way,train,Ses02F_impro01_
but,0.0,0,20,5,6way,train,Ses02F_impro01_
so,0.8181818181818182,27,34,0,6way,train,Ses02F_impro01_
and,0.5757575757575758,19,34,0,6way,train,Ses02F_impro01_
but,0.7857142857142857,11,15,5,6way,train,Ses02F_impro01_
well,0.14285714285714285,2,15,5,6way,train,Ses02F_impro01_
so,0.0,0,30,5,6way,train,Ses02F_impro01_
maybe,0.3448275862068966,10,30,5,6way,train,Ses02F_impro01_
maybe,0.896551724137931,26,30,5,6way,train,Ses02F_impro01_
so,1.0,4,5,5,6way,train,Ses02F_impro01_
well,0.0,0,9,5,6way,train,Ses02F_impro01_
like,1.0,10,11,-1,6way,train,Ses02F_impro02_
so,1.0,15,16,5,6way,train,Ses02F_impro02_
but,0.0,0,16,5,6way,train,Ses02F_impro02_
maybe,0.4666666666666667,7,16,5,6way,train,Ses02F_impro02_
so,1.0,3,4,2,6way,train,Ses02F_impro02_
so,0.16666666666666666,7,43,5,6way,train,Ses02F_impro02_
well,0.0,0,43,5,6way,train,Ses02F_impro02_
like,0.5,13,27,2,6way,train,Ses02F_impro02_
well,0.0,0,27,2,6way,train,Ses02F_impro02_
you know,0.4230769230769231,11,27,2,6way,train,Ses02F_impro02_
and,0.3076923076923077,8,27,2,6way,train,Ses02F_impro02_
so,0.3,6,21,5,6way,train,Ses02F_impro02_
so,0.8,16,21,5,6way,train,Ses02F_impro02_
and,0.5555555555555556,10,19,2,6way,train,Ses02F_impro02_
and,0.0,0,17,2,6way,train,Ses02F_impro02_
yet,0.5,6,13,5,6way,train,Ses02F_impro02_
but,0.07142857142857142,2,29,2,6way,train,Ses02F_impro02_
and,1.0,28,29,2,6way,train,Ses02F_impro02_
so,0.6923076923076923,18,27,2,6way,train,Ses02F_impro02_
but,0.0,0,27,2,6way,train,Ses02F_impro02_
well,0.0,0,20,2,6way,train,Ses02F_impro02_
but,0.5,8,17,2,6way,train,Ses02F_impro02_
you know,0.9375,15,17,2,6way,train,Ses02F_impro02_
but,1.0,23,24,5,6way,train,Ses02F_impro02_
and,0.30434782608695654,7,24,5,6way,train,Ses02F_impro02_
so,0.15,3,21,5,6way,train,Ses02F_impro02_
so,0.65,13,21,5,6way,train,Ses02F_impro02_
and,0.5,6,13,2,6way,train,Ses02F_impro02_
oh,0.0,0,15,4,6way,train,Ses02F_impro03_
well,0.0,0,6,4,6way,train,Ses02F_impro03_
oh,0.0,0,3,-1,6way,train,Ses02F_impro03_
well,0.36363636363636365,4,12,-1,6way,train,Ses02F_impro03_
and,0.45454545454545453,5,12,-1,6way,train,Ses02F_impro03_
so,0.5,1,3,4,6way,train,Ses02F_impro03_
well,0.0,0,7,4,6way,train,Ses02F_impro03_
like,0.5625,9,17,-1,6way,train,Ses02F_impro03_
oh,0.625,10,17,-1,6way,train,Ses02F_impro03_
and,0.375,6,17,-1,6way,train,Ses02F_impro03_
like,0.1935483870967742,12,63,-1,6way,train,Ses02F_impro03_
like,0.3709677419354839,23,63,-1,6way,train,Ses02F_impro03_
like,0.532258064516129,33,63,-1,6way,train,Ses02F_impro03_
like,0.6612903225806451,41,63,-1,6way,train,Ses02F_impro03_
like,0.7419354838709677,46,63,-1,6way,train,Ses02F_impro03_
like,0.9032258064516129,56,63,-1,6way,train,Ses02F_impro03_
like,0.9354838709677419,58,63,-1,6way,train,Ses02F_impro03_
so,0.0,0,63,-1,6way,train,Ses02F_impro03_
so,0.04838709677419355,3,63,-1,6way,train,Ses02F_impro03_
so,0.3387096774193548,21,63,-1,6way,train,Ses02F_impro03_
and,0.12903225806451613,8,63,-1,6way,train,Ses02F_impro03_
and,0.3064516129032258,19,63,-1,6way,train,Ses02F_impro03_
and,0.3225806451612903,20,63,-1,6way,train,Ses02F_impro03_
and,0.4838709677419355,30,63,-1,6way,train,Ses02F_impro03_
and,0.7096774193548387,44,63,-1,6way,train,Ses02F_impro03_
and,0.8548387096774194,53,63,-1,6way,train,Ses02F_impro03_
like,0.3225806451612903,10,32,-1,6way,train,Ses02F_impro03_
like,0.4838709677419355,15,32,-1,6way,train,Ses02F_impro03_
like,0.6129032258064516,19,32,-1,6way,train,Ses02F_impro03_
like,0.7741935483870968,24,32,-1,6way,train,Ses02F_impro03_
so,0.0,0,32,-1,6way,train,Ses02F_impro03_
and,0.25806451612903225,8,32,-1,6way,train,Ses02F_impro03_
and,0.5483870967741935,17,32,-1,6way,train,Ses02F_impro03_
and,0.7096774193548387,22,32,-1,6way,train,Ses02F_impro03_
like,0.5555555555555556,10,19,-1,6way,train,Ses02F_impro03_
so,0.0,0,19,-1,6way,train,Ses02F_impro03_
and,0.2777777777777778,5,19,-1,6way,train,Ses02F_impro03_
like,0.0,0,42,4,6way,train,Ses02F_impro03_
like,0.17073170731707318,7,42,4,6way,train,Ses02F_impro03_
like,0.3170731707317073,13,42,4,6way,train,Ses02F_impro03_
like,0.6097560975609756,25,42,4,6way,train,Ses02F_impro03_
and,0.0975609756097561,4,42,4,6way,train,Ses02F_impro03_
and,0.2682926829268293,11,42,4,6way,train,Ses02F_impro03_
and,0.4146341463414634,17,42,4,6way,train,Ses02F_impro03_
and,0.5609756097560976,23,42,4,6way,train,Ses02F_impro03_
and,0.7560975609756098,31,42,4,6way,train,Ses02F_impro03_
and,0.926829268292683,38,42,4,6way,train,Ses02F_impro03_
like,0.19047619047619047,4,22,-1,6way,train,Ses02F_impro03_
so,0.6190476190476191,13,22,-1,6way,train,Ses02F_impro03_
so,0.95,19,21,-1,6way,train,Ses02F_impro03_
i mean,0.08333333333333333,1,13,1,6way,train,Ses02F_impro03_
like,0.23809523809523808,5,22,4,6way,train,Ses02F_impro03_
like,0.6190476190476191,13,22,4,6way,train,Ses02F_impro03_
like,1.0,21,22,4,6way,train,Ses02F_impro03_
so,0.19047619047619047,4,22,4,6way,train,Ses02F_impro03_
but,0.5714285714285714,12,22,4,6way,train,Ses02F_impro03_
you know,0.7619047619047619,16,22,4,6way,train,Ses02F_impro03_
though,0.3333333333333333,7,22,4,6way,train,Ses02F_impro03_
yet,0.7142857142857143,15,22,4,6way,train,Ses02F_impro03_
so,0.0,0,5,1,6way,train,Ses02F_impro03_
though,1.0,4,5,1,6way,train,Ses02F_impro03_
like,0.75,9,13,4,6way,train,Ses02F_impro03_
oh,0.8333333333333334,10,13,4,6way,train,Ses02F_impro03_
like,0.68,17,26,1,6way,train,Ses02F_impro03_
so,0.08,2,26,1,6way,train,Ses02F_impro03_
like,0.24,6,26,1,6way,train,Ses02F_impro03_
like,1.0,25,26,1,6way,train,Ses02F_impro03_
and,0.44,11,26,1,6way,train,Ses02F_impro03_
and,0.56,14,26,1,6way,train,Ses02F_impro03_
oh,0.0,0,12,3,6way,train,Ses02F_impro03_
oh,0.9090909090909091,10,12,3,6way,train,Ses02F_impro03_
yet,0.45454545454545453,5,12,3,6way,train,Ses02F_impro03_
like,0.8260869565217391,19,24,1,6way,train,Ses02F_impro03_
so,0.5652173913043478,13,24,1,6way,train,Ses02F_impro03_
and,0.34782608695652173,8,24,1,6way,train,Ses02F_impro03_
like,0.3103448275862069,9,30,1,6way,train,Ses02F_impro03_
like,0.6896551724137931,20,30,1,6way,train,Ses02F_impro03_
so,0.0,0,30,1,6way,train,Ses02F_impro03_
i think,0.3793103448275862,11,30,1,6way,train,Ses02F_impro03_
and,0.9655172413793104,28,30,1,6way,train,Ses02F_impro03_
yet,0.9310344827586207,27,30,1,6way,train,Ses02F_impro03_
like,0.4375,7,17,1,6way,train,Ses02F_impro03_
so,0.75,12,17,1,6way,train,Ses02F_impro03_
but,0.875,14,17,1,6way,train,Ses02F_impro03_
like,0.5357142857142857,15,29,-1,6way,train,Ses02F_impro03_
like,0.9642857142857143,27,29,-1,6way,train,Ses02F_impro03_
so,0.07142857142857142,2,29,-1,6way,train,Ses02F_impro03_
so,0.32142857142857145,9,29,-1,6way,train,Ses02F_impro03_
but,0.0,0,29,-1,6way,train,Ses02F_impro03_
and,0.39285714285714285,11,29,-1,6way,train,Ses02F_impro03_
though,1.0,2,3,3,6way,train,Ses02F_impro03_
like,0.5882352941176471,10,18,4,6way,train,Ses02F_impro03_
so,0.9411764705882353,16,18,4,6way,train,Ses02F_impro03_
and,0.2,1,6,-1,6way,train,Ses02F_impro03_
so,0.2,3,16,1,6way,train,Ses02F_impro03_
so,0.7333333333333333,11,16,1,6way,train,Ses02F_impro03_
so,0.8,4,6,1,6way,train,Ses02F_impro03_
so,0.6923076923076923,9,14,1,6way,train,Ses02F_impro03_
so,1.0,13,14,1,6way,train,Ses02F_impro03_
but,0.8461538461538461,11,14,1,6way,train,Ses02F_impro03_
oh,0.0,0,19,4,6way,train,Ses02F_impro03_
and,0.4444444444444444,8,19,4,6way,train,Ses02F_impro03_
and,0.7777777777777778,14,19,4,6way,train,Ses02F_impro03_
oh,0.0,0,7,1,6way,train,Ses02F_impro03_
and,0.5833333333333334,14,25,1,6way,train,Ses02F_impro03_
well,0.0,0,10,4,6way,train,Ses02F_impro03_
and,1.0,9,10,4,6way,train,Ses02F_impro03_
oh,0.0,0,7,4,6way,train,Ses02F_impro03_
like,0.32142857142857145,9,29,4,6way,train,Ses02F_impro03_
like,0.7857142857142857,22,29,4,6way,train,Ses02F_impro03_
so,0.03571428571428571,1,29,4,6way,train,Ses02F_impro03_
so,0.35714285714285715,10,29,4,6way,train,Ses02F_impro03_
so,0.8571428571428571,24,29,4,6way,train,Ses02F_impro03_
but,0.42857142857142855,12,29,4,6way,train,Ses02F_impro03_
like,0.5,2,5,1,6way,train,Ses02F_impro03_
and,0.75,3,5,1,6way,train,Ses02F_impro03_
oh,0.0,0,4,1,6way,train,Ses02F_impro03_
so,0.0,0,15,3,6way,train,Ses02F_impro04_
so,0.14285714285714285,2,15,3,6way,train,Ses02F_impro04_
you know,0.5454545454545454,12,23,5,6way,train,Ses02F_impro04_
i mean,0.3333333333333333,6,19,3,6way,train,Ses02F_impro04_
like,1.0,14,15,5,6way,train,Ses02F_impro04_
but,0.07142857142857142,1,15,5,6way,train,Ses02F_impro04_
and,0.7857142857142857,11,15,5,6way,train,Ses02F_impro04_
oh,0.0,0,22,5,6way,train,Ses02F_impro04_
like,0.7272727272727273,8,12,-1,6way,train,Ses02F_impro04_
but,1.0,11,12,-1,6way,train,Ses02F_impro04_
like,0.29411764705882354,5,18,5,6way,train,Ses02F_impro04_
like,0.8823529411764706,15,18,5,6way,train,Ses02F_impro04_
so,0.17647058823529413,3,18,5,6way,train,Ses02F_impro04_
but,0.0,0,18,5,6way,train,Ses02F_impro04_
well,0.47058823529411764,8,18,5,6way,train,Ses02F_impro04_
like,0.46153846153846156,6,14,5,6way,train,Ses02F_impro04_
so,0.5128205128205128,20,40,3,6way,train,Ses02F_impro04_
so,0.6153846153846154,24,40,3,6way,train,Ses02F_impro04_
but,0.15384615384615385,6,40,3,6way,train,Ses02F_impro04_
like,0.6388888888888888,23,37,5,6way,train,Ses02F_impro04_
so,0.75,27,37,5,6way,train,Ses02F_impro04_
and,0.3055555555555556,11,37,5,6way,train,Ses02F_impro04_
and,0.3611111111111111,13,37,5,6way,train,Ses02F_impro04_
and,0.4444444444444444,16,37,5,6way,train,Ses02F_impro04_
like,0.22580645161290322,7,32,5,6way,train,Ses02F_impro04_
but,0.03225806451612903,1,32,5,6way,train,Ses02F_impro04_
and,0.6129032258064516,19,32,5,6way,train,Ses02F_impro04_
and,0.7096774193548387,22,32,5,6way,train,Ses02F_impro04_
maybe,0.06451612903225806,2,32,5,6way,train,Ses02F_impro04_
maybe,0.25806451612903225,8,32,5,6way,train,Ses02F_impro04_
maybe,0.45161290322580644,14,32,5,6way,train,Ses02F_impro04_
like,0.5,8,17,3,6way,train,Ses02F_impro04_
like,0.6666666666666666,18,28,3,6way,train,Ses02F_impro04_
i mean,0.1111111111111111,3,28,3,6way,train,Ses02F_impro04_
like,0.0967741935483871,3,32,5,6way,train,Ses02F_impro04_
like,0.3225806451612903,10,32,5,6way,train,Ses02F_impro04_
like,0.8387096774193549,26,32,5,6way,train,Ses02F_impro04_
so,0.6774193548387096,21,32,5,6way,train,Ses02F_impro04_
you know,0.7096774193548387,22,32,5,6way,train,Ses02F_impro04_
but,1.0,18,19,3,6way,train,Ses02F_impro04_
i mean,0.3333333333333333,6,19,3,6way,train,Ses02F_impro04_
you know,0.6111111111111112,11,19,3,6way,train,Ses02F_impro04_
like,0.1,4,41,5,6way,train,Ses02F_impro04_
like,0.475,19,41,5,6way,train,Ses02F_impro04_
like,1.0,40,41,5,6way,train,Ses02F_impro04_
so,0.05,2,41,5,6way,train,Ses02F_impro04_
and,0.725,29,41,5,6way,train,Ses02F_impro04_
but,0.0,0,9,3,6way,train,Ses02F_impro04_
so,0.6666666666666666,2,4,2,6way,train,Ses02F_impro04_
and,1.0,29,30,3,6way,train,Ses02F_impro04_
like,0.5555555555555556,10,19,3,6way,train,Ses02F_impro04_
so,0.3333333333333333,6,19,3,6way,train,Ses02F_impro04_
so,0.6666666666666666,12,19,3,6way,train,Ses02F_impro04_
so,0.8333333333333334,15,19,3,6way,train,Ses02F_impro04_
and,0.05555555555555555,1,19,3,6way,train,Ses02F_impro04_
and,0.0,0,20,5,6way,train,Ses02F_impro04_
like,0.32,16,51,3,6way,train,Ses02F_impro04_
so,0.26,13,51,3,6way,train,Ses02F_impro04_
but,0.8,40,51,3,6way,train,Ses02F_impro04_
and,0.12,6,51,3,6way,train,Ses02F_impro04_
and,0.4,20,51,3,6way,train,Ses02F_impro04_
and,0.56,28,51,3,6way,train,Ses02F_impro04_
and,0.82,41,51,3,6way,train,Ses02F_impro04_
and,0.84,42,51,3,6way,train,Ses02F_impro04_
and,0.94,47,51,3,6way,train,Ses02F_impro04_
maybe,0.14,7,51,3,6way,train,Ses02F_impro04_
like,0.08695652173913043,6,70,5,6way,train,Ses02F_impro04_
like,0.15942028985507245,11,70,5,6way,train,Ses02F_impro04_
like,0.3188405797101449,22,70,5,6way,train,Ses02F_impro04_
like,0.34782608695652173,24,70,5,6way,train,Ses02F_impro04_
like,0.43478260869565216,30,70,5,6way,train,Ses02F_impro04_
so,0.8840579710144928,61,70,5,6way,train,Ses02F_impro04_
you know,0.2463768115942029,17,70,5,6way,train,Ses02F_impro04_
and,0.5652173913043478,39,70,5,6way,train,Ses02F_impro04_
and,0.6811594202898551,47,70,5,6way,train,Ses02F_impro04_
like,0.23529411764705882,12,52,3,6way,train,Ses02F_impro04_
like,0.9019607843137255,46,52,3,6way,train,Ses02F_impro04_
so,0.7843137254901961,40,52,3,6way,train,Ses02F_impro04_
but,0.058823529411764705,3,52,3,6way,train,Ses02F_impro04_
but,0.5098039215686274,26,52,3,6way,train,Ses02F_impro04_
well,0.0,0,52,3,6way,train,Ses02F_impro04_
you know,0.9803921568627451,50,52,3,6way,train,Ses02F_impro04_
and,0.3137254901960784,16,52,3,6way,train,Ses02F_impro04_
and,0.6078431372549019,31,52,3,6way,train,Ses02F_impro04_
and,0.6666666666666666,34,52,3,6way,train,Ses02F_impro04_
maybe,0.0196078431372549,1,52,3,6way,train,Ses02F_impro04_
maybe,0.0784313725490196,4,52,3,6way,train,Ses02F_impro04_
well,0.2,1,6,5,6way,train,Ses02F_impro04_
so,0.20512820512820512,8,40,5,6way,train,Ses02F_impro04_
i think,0.05128205128205128,2,40,5,6way,train,Ses02F_impro04_
and,0.7435897435897436,29,40,5,6way,train,Ses02F_impro04_
maybe,0.10256410256410256,4,40,5,6way,train,Ses02F_impro04_
yet,0.7692307692307693,30,40,5,6way,train,Ses02F_impro04_
like,0.4857142857142857,17,36,3,6way,train,Ses02F_impro04_
like,0.9428571428571428,33,36,3,6way,train,Ses02F_impro04_
so,0.8571428571428571,30,36,3,6way,train,Ses02F_impro04_
oh,0.8,28,36,3,6way,train,Ses02F_impro04_
though,0.14285714285714285,5,36,3,6way,train,Ses02F_impro04_
and,0.6285714285714286,22,36,3,6way,train,Ses02F_impro04_
and,0.6571428571428571,23,36,3,6way,train,Ses02F_impro04_
and,0.9142857142857143,32,36,3,6way,train,Ses02F_impro04_
like,0.6818181818181818,15,23,5,6way,train,Ses02F_impro04_
but,0.36363636363636365,8,23,5,6way,train,Ses02F_impro04_
but,1.0,22,23,5,6way,train,Ses02F_impro04_
i guess,0.0,0,23,5,6way,train,Ses02F_impro04_
well,0.0,0,4,3,6way,train,Ses02F_impro04_
so,0.3333333333333333,8,25,5,6way,train,Ses02F_impro04_
and,0.7083333333333334,17,25,5,6way,train,Ses02F_impro04_
and,0.5416666666666666,13,25,3,6way,train,Ses02F_impro04_
and,1.0,24,25,3,6way,train,Ses02F_impro04_
like,0.4090909090909091,9,23,2,6way,train,Ses02F_impro04_
like,0.5,8,17,3,6way,train,Ses02F_impro04_
well,0.0,0,17,3,6way,train,Ses02F_impro04_
though,1.0,16,17,3,6way,train,Ses02F_impro04_
and,0.84375,27,33,-1,6way,train,Ses02F_impro04_
and,0.90625,29,33,-1,6way,train,Ses02F_impro04_
i believe,0.36363636363636365,4,12,3,6way,train,Ses02F_impro05_
so,0.7272727272727273,16,23,3,6way,train,Ses02F_impro05_
and,0.36363636363636365,8,23,3,6way,train,Ses02F_impro05_
unfortunately,0.25,3,13,3,6way,train,Ses02F_impro05_
so,0.6666666666666666,8,13,3,6way,train,Ses02F_impro05_
so,0.75,9,13,3,6way,train,Ses02F_impro05_
well,0.16666666666666666,2,13,3,6way,train,Ses02F_impro05_
so,0.0,0,8,-1,6way,train,Ses02F_impro05_
so,0.15384615384615385,2,14,3,6way,train,Ses02F_impro05_
well,0.07692307692307693,1,14,3,6way,train,Ses02F_impro05_
so,0.6956521739130435,16,24,3,6way,train,Ses02F_impro05_
and,0.6521739130434783,15,24,3,6way,train,Ses02F_impro05_
but,0.06666666666666667,1,16,3,6way,train,Ses02F_impro05_
and,0.7333333333333333,11,16,3,6way,train,Ses02F_impro05_
and,0.8,12,16,3,6way,train,Ses02F_impro05_
like,0.2391304347826087,11,47,-1,6way,train,Ses02F_impro05_
but,0.45652173913043476,21,47,-1,6way,train,Ses02F_impro05_
and,0.30434782608695654,14,47,-1,6way,train,Ses02F_impro05_
so,0.6666666666666666,14,22,3,6way,train,Ses02F_impro05_
but,0.5714285714285714,12,22,3,6way,train,Ses02F_impro05_
and,0.5714285714285714,16,29,0,6way,train,Ses02F_impro05_
and,0.631578947368421,12,20,3,6way,train,Ses02F_impro05_
maybe,0.15789473684210525,3,20,3,6way,train,Ses02F_impro05_
like,0.16666666666666666,4,25,5,6way,train,Ses02F_impro05_
but,0.375,9,25,5,6way,train,Ses02F_impro05_
but,0.9090909090909091,20,23,3,6way,train,Ses02F_impro05_
i mean,0.09090909090909091,2,23,3,6way,train,Ses02F_impro05_
maybe,0.6818181818181818,15,23,3,6way,train,Ses02F_impro05_
i mean,0.4166666666666667,5,13,-1,6way,train,Ses02F_impro05_
unfortunately,0.8,8,11,3,6way,train,Ses02F_impro05_
though,0.9,9,11,3,6way,train,Ses02F_impro05_
well,0.0625,1,17,3,6way,train,Ses02F_impro05_
so,0.6129032258064516,19,32,-1,6way,train,Ses02F_impro05_
so,0.7419354838709677,23,32,-1,6way,train,Ses02F_impro05_
so,0.7741935483870968,24,32,-1,6way,train,Ses02F_impro05_
so,0.425531914893617,20,48,3,6way,train,Ses02F_impro05_
so,0.44680851063829785,21,48,3,6way,train,Ses02F_impro05_
so,0.6595744680851063,31,48,3,6way,train,Ses02F_impro05_
so,0.851063829787234,40,48,3,6way,train,Ses02F_impro05_
but,0.6808510638297872,32,48,3,6way,train,Ses02F_impro05_
and,0.10638297872340426,5,48,3,6way,train,Ses02F_impro05_
and,0.6170212765957447,29,48,3,6way,train,Ses02F_impro05_
well,0.02631578947368421,1,39,5,6way,train,Ses02F_impro05_
and,0.2631578947368421,10,39,5,6way,train,Ses02F_impro05_
i guess,0.10526315789473684,4,39,5,6way,train,Ses02F_impro05_
so,0.4,4,11,3,6way,train,Ses02F_impro05_
well,0.0,0,11,3,6way,train,Ses02F_impro05_
but,0.0,0,9,5,6way,train,Ses02F_impro05_
like,0.11764705882352941,2,18,3,6way,train,Ses02F_impro05_
and,0.5882352941176471,10,18,3,6way,train,Ses02F_impro05_
maybe,0.7058823529411765,12,18,3,6way,train,Ses02F_impro05_
probably,0.0,0,4,3,6way,train,Ses02F_impro05_
so,0.10526315789473684,4,39,5,6way,train,Ses02F_impro05_
so,1.0,34,35,3,6way,train,Ses02F_impro05_
and,0.5882352941176471,20,35,3,6way,train,Ses02F_impro05_
like,0.3157894736842105,6,20,5,6way,train,Ses02F_impro05_
i mean,0.8947368421052632,17,20,5,6way,train,Ses02F_impro05_
oh,0.6842105263157895,13,20,5,6way,train,Ses02F_impro05_
unfortunately,0.3333333333333333,1,4,3,6way,train,Ses02F_impro05_
so,0.6666666666666666,2,4,3,6way,train,Ses02F_impro05_
but,0.0,0,4,3,6way,train,Ses02F_impro05_
well,0.0,0,5,3,6way,train,Ses02F_impro05_
so,0.14285714285714285,6,43,3,6way,train,Ses02F_impro05_
well,0.023809523809523808,1,43,3,6way,train,Ses02F_impro05_
and,0.5,21,43,3,6way,train,Ses02F_impro05_
and,0.7142857142857143,30,43,3,6way,train,Ses02F_impro05_
maybe,0.7619047619047619,32,43,3,6way,train,Ses02F_impro05_
like,0.10526315789473684,2,20,0,6way,train,Ses02F_impro05_
like,0.3684210526315789,7,20,0,6way,train,Ses02F_impro05_
so,0.05263157894736842,1,20,0,6way,train,Ses02F_impro05_
well,0.47368421052631576,9,20,0,6way,train,Ses02F_impro05_
oh,0.42105263157894735,8,20,0,6way,train,Ses02F_impro05_
like,0.2,9,46,3,6way,train,Ses02F_impro05_
so,0.4888888888888889,22,46,3,6way,train,Ses02F_impro05_
so,0.8666666666666667,39,46,3,6way,train,Ses02F_impro05_
but,0.17777777777777778,8,46,3,6way,train,Ses02F_impro05_
and,0.6444444444444445,29,46,3,6way,train,Ses02F_impro05_
well,0.0,0,10,5,6way,train,Ses02F_impro05_
so,0.2,1,6,3,6way,train,Ses02F_impro06_
but,1.0,6,7,2,6way,train,Ses02F_impro06_
like,0.1111111111111111,2,19,2,6way,train,Ses02F_impro06_
like,0.5,9,19,2,6way,train,Ses02F_impro06_
so,0.9444444444444444,17,19,2,6way,train,Ses02F_impro06_
well,1.0,18,19,2,6way,train,Ses02F_impro06_
like,0.7368421052631579,14,20,3,6way,train,Ses02F_impro06_
like,0.9473684210526315,18,20,3,6way,train,Ses02F_impro06_
so,0.8947368421052632,17,20,3,6way,train,Ses02F_impro06_
you know,0.21052631578947367,4,20,3,6way,train,Ses02F_impro06_
so,0.72,18,26,3,6way,train,Ses02F_impro06_
you know,0.56,14,26,3,6way,train,Ses02F_impro06_
and,0.64,16,26,3,6way,train,Ses02F_impro06_
and,0.0,0,6,2,6way,train,Ses02F_impro06_
like,0.3076923076923077,4,14,2,6way,train,Ses02F_impro06_
you know,0.9230769230769231,12,14,2,6way,train,Ses02F_impro06_
i mean,0.5,11,23,3,6way,train,Ses02F_impro06_
well,0.0,0,23,3,6way,train,Ses02F_impro06_
like,0.46153846153846156,6,14,3,6way,train,Ses02F_impro06_
and,0.38461538461538464,5,14,3,6way,train,Ses02F_impro06_
so,0.13333333333333333,2,16,2,6way,train,Ses02F_impro06_
and,0.4,6,16,2,6way,train,Ses02F_impro06_
and,0.375,6,17,2,6way,train,Ses02F_impro06_
and,0.8125,13,17,2,6way,train,Ses02F_impro06_
so,0.9047619047619048,19,22,3,6way,train,Ses02F_impro06_
but,0.0,0,22,3,6way,train,Ses02F_impro06_
and,1.0,21,22,3,6way,train,Ses02F_impro06_
and,1.0,12,13,3,6way,train,Ses02F_impro06_
so,0.5806451612903226,18,32,3,6way,train,Ses02F_impro06_
and,0.0,0,32,3,6way,train,Ses02F_impro06_
and,0.16129032258064516,5,32,3,6way,train,Ses02F_impro06_
and,0.7096774193548387,22,32,3,6way,train,Ses02F_impro06_
but,1.0,4,5,2,6way,train,Ses02F_impro06_
but,1.0,7,8,3,6way,train,Ses02F_impro06_
but,0.0,0,15,3,6way,train,Ses02F_impro06_
