K,f1_weighted,f1_macro,angry_f1,happy_f1,sad_f1,neutral_f1,excited_f1,frustrated_f1,seed
70,0.6507664332288895,0.6446190825165884,0.6124401913875598,0.5234375,0.8,0.6345679012345679,0.6994727592267135,0.5977961432506887,43
80,0.6233015642851998,0.6133818445344473,0.6112600536193029,0.41509433962264153,0.7874015748031497,0.6088888888888889,0.7093596059113301,0.5482866043613707,43
90,0.6530538828048358,0.6458452094249206,0.6134663341645885,0.5247148288973384,0.7677543186180422,0.6239554317548747,0.7351524879614767,0.6100278551532033,43
100,0.6396648491018795,0.629412295816492,0.5856832971800434,0.48333333333333334,0.7852494577006508,0.6201550387596899,0.7043189368770764,0.5977337110481586,43
0,0.49894134423311914,0.47651474286449486,0.5031055900621118,0.2535211267605634,0.519916142557652,0.4987951807228916,0.5405405405405406,0.5432098765432098,44
10,0.6286401927536315,0.6099780068347094,0.6054421768707483,0.3883495145631068,0.757085020242915,0.6073059360730594,0.651685393258427,0.65,44
20,0.6504867798063282,0.6356880247288362,0.5923344947735192,0.4691358024691358,0.7790697674418605,0.6276849642004774,0.6998284734133791,0.646074646074646,44
30,0.6363761001744405,0.6265939001118473,0.6256983240223464,0.45161290322580644,0.7758620689655172,0.5971896955503513,0.6946308724832215,0.614569536423841,44
40,0.6730110633165793,0.6678600411301957,0.6282722513089005,0.5830258302583026,0.7958333333333333,0.6525,0.7012522361359571,0.6462765957446809,44
50,0.5910853294568553,0.5878343227225162,0.5723270440251572,0.46496815286624205,0.7804878048780488,0.5842931937172775,0.6003898635477583,0.5245398773006135,44
60,0.6631441059405075,0.6556160367482567,0.6542553191489362,0.5089605734767025,0.7876288659793814,0.6295793758480326,0.7159663865546219,0.6373056994818653,44
70,0.6165721632039051,0.6138418107619077,0.5783664459161147,0.5620915032679739,0.6924939467312349,0.6012422360248447,0.6704119850187266,0.5784447476125512,44
80,0.6380512378892823,0.624822153670897,0.5821917808219178,0.4827586206896552,0.7485604606525912,0.590778097982709,0.6787003610108303,0.665943600867679,44
90,0.6257038482619958,0.6207667357296501,0.5812356979405034,0.5099601593625498,0.7849223946784922,0.6134831460674157,0.6739130434782609,0.5610859728506787,44
100,0.6257525184586992,0.6242742969360857,0.5903083700440529,0.5317460317460317,0.80083857442348,0.6087962962962963,0.6575875486381323,0.5563689604685212,44
0,0.5232841062057471,0.5131489966145698,0.5415676959619953,0.3950617283950617,0.5304518664047151,0.5217391304347826,0.5539033457249071,0.5361702127659574,45
10,0.6434449463977973,0.6334732219146278,0.6233766233766234,0.496,0.7322970639032815,0.6084724005134788,0.6963979416809606,0.6442953020134228,45
20,0.6427684809399197,0.6336156335163182,0.6049382716049383,0.5,0.7719298245614035,0.6059817945383615,0.6837606837606838,0.6350832266325224,45
30,0.6312942239955674,0.6257325268645894,0.6067961165048543,0.517799352750809,0.7527839643652561,0.616729088639201,0.6666666666666666,0.5936199722607489,45
40,0.6666412480544627,0.6588234216293075,0.6340057636887608,0.5378787878787878,0.7948717948717948,0.6318471337579618,0.6924493554327809,0.6618876941457587,45
50,0.6421248197532483,0.6256690726240083,0.6118980169971672,0.4147465437788018,0.7875,0.6131191432396251,0.6789297658862876,0.6478209658421673,45
60,0.6113058932128347,0.5795193421929028,0.5793103448275863,0.21348314606741572,0.7806841046277666,0.6138613861386139,0.6813186813186813,0.6084583901773534,45
70,0.6229207290652439,0.6038277058412655,0.615,0.32673267326732675,0.7889125799573561,0.6191646191646192,0.6952526799387443,0.5779036827195467,45
80,0.6194719935613497,0.5890025222802994,0.5957446808510638,0.23529411764705882,0.7725321888412017,0.6060606060606061,0.6918032786885245,0.6325802615933412,45
90,0.6397174023839185,0.6287227101914888,0.6022099447513812,0.45993031358885017,0.8034188034188035,0.6290516206482593,0.679646017699115,0.598079561042524,45
100,0.6557539763572754,0.6516348562854594,0.629080118694362,0.564625850340136,0.7905982905982906,0.6133333333333333,0.648854961832061,0.6633165829145728,45
0,0.5412142430914737,0.5273516568788553,0.5524861878453039,0.38596491228070173,0.5339805825242718,0.5623003194888179,0.5891181988742964,0.5402597402597402,46
10,0.635993569175947,0.6128402147577625,0.620253164556962,0.3349282296650718,0.7701149425287356,0.6052998605299861,0.6812816188870152,0.6651634723788049,46
20,0.6286845539468382,0.6162100258672351,0.6039603960396039,0.4578313253012048,0.7262357414448669,0.6120906801007556,0.678030303030303,0.6191117092866757,46
30,0.6079784814671767,0.5887107741744811,0.5714285714285714,0.3611111111111111,0.7251184834123223,0.5470085470085471,0.684887459807074,0.6427104722792608,46
40,0.6533546401815724,0.6420979955917855,0.5793103448275863,0.5220588235294118,0.7890295358649789,0.6365740740740741,0.6855123674911661,0.6401028277634961,46
50,0.6152654191094525,0.6079173645898185,0.555984555984556,0.48760330578512395,0.7567567567567568,0.6146220570012392,0.6987951807228916,0.5337423312883436,46
60,0.5858070755248708,0.5726595581707523,0.6075268817204301,0.35807860262008734,0.6637168141592921,0.5386819484240688,0.6934189406099518,0.5745341614906833,46
70,0.5797300165509499,0.5708323124261598,0.5785123966942148,0.3793103448275862,0.7475915221579962,0.47368421052631576,0.6342342342342342,0.6116611661166117,46
80,0.6710951788940582,0.6617644818928504,0.6382978723404256,0.5296167247386759,0.793859649122807,0.6299615877080665,0.7008849557522124,0.6779661016949152,46
90,0.642810490580993,0.6273132188099947,0.5955334987593052,0.4392523364485981,0.7679324894514767,0.6232439335887612,0.715008431703204,0.6229086229086229,46
100,0.6698764804689705,0.6655491886557531,0.6276595744680851,0.580441640378549,0.7842323651452282,0.6468305304010349,0.7269439421338155,0.6271870794078062,46
0,0.5261322276105314,0.5139355626606411,0.5224719101123596,0.38095238095238093,0.5666041275797373,0.5294855708908407,0.5499058380414312,0.5341935483870968,47
10,0.6319885796120828,0.611486137484376,0.6222222222222222,0.36153846153846153,0.7432675044883303,0.5956834532374101,0.6846275752773375,0.6615776081424937,47
20,0.6440640354289319,0.6282699975852241,0.6479750778816199,0.4069264069264069,0.7695238095238095,0.6140776699029126,0.6727941176470589,0.6583229036295369,47
30,0.6506853280934609,0.6378414456022233,0.5945945945945946,0.48872180451127817,0.7723214285714286,0.6340852130325815,0.7046979865771812,0.6326276463262764,47
40,0.6208661850894296,0.5924721609788673,0.591715976331361,0.28292682926829266,0.7608695652173914,0.6120996441281139,0.6526315789473685,0.6545893719806763,47
50,0.6388966252467517,0.6346868523786018,0.5539112050739958,0.5682656826568265,0.7869565217391304,0.6382428940568475,0.6996336996336996,0.5611111111111111,47
60,0.6311679637318872,0.6121944070411119,0.6344410876132931,0.34146341463414637,0.7736625514403292,0.5985401459854015,0.6971235194585449,0.6279357231149567,47
70,0.6180189057193598,0.6063593056880642,0.5906735751295337,0.43119266055045874,0.7398230088495575,0.6115107913669064,0.7033333333333334,0.5616224648985959,47
80,0.6413806737949561,0.6248909073498926,0.5956112852664577,0.43317972350230416,0.7663934426229508,0.6248548199767712,0.6957983193277311,0.6335078534031413,47
90,0.6382511915310884,0.6286259621885992,0.5788235294117647,0.4968553459119497,0.7883817427385892,0.6120689655172413,0.6832740213523132,0.6123521681997371,47
100,0.6511675758286378,0.6380340162818536,0.6226912928759895,0.4595744680851064,0.777292576419214,0.628032345013477,0.7043618739903069,0.6362515413070283,47
0,0.5068738773125431,0.49249112095821773,0.4899135446685879,0.35071090047393366,0.5340909090909091,0.5066991473812423,0.5576592082616179,0.5158730158730159,48
10,0.6349802094172983,0.6058377626797644,0.6,0.28865979381443296,0.768361581920904,0.6303797468354431,0.6963434022257552,0.6512820512820513,48
20,0.6382002239837131,0.6319354852441931,0.61,0.5153374233128835,0.7837259100642399,0.6353240152477764,0.651252408477842,0.5959731543624162,48
30,0.6538216925043355,0.6414970893021037,0.6032786885245902,0.47876447876447875,0.7982456140350878,0.6194029850746269,0.7075928917609047,0.6416978776529338,48
40,0.6427435292365359,0.6317966737940668,0.6191950464396285,0.4744525547445255,0.7717171717171717,0.6159334126040428,0.6717267552182163,0.6377551020408163,48
50,0.6620200614349769,0.6458463727452308,0.6339869281045751,0.4298245614035088,0.8202959830866807,0.6339181286549708,0.6936619718309859,0.6633906633906634,48
60,0.628224610493091,0.605101865840771,0.6310432569974554,0.31351351351351353,0.7239819004524887,0.6114649681528662,0.7303543913713405,0.620253164556962,48
70,0.6435129741728163,0.6248733288175035,0.6186186186186187,0.3744292237442922,0.7976424361493124,0.6179921773142112,0.7123695976154992,0.6281879194630873,48
80,0.6096166186563119,0.5907466466729084,0.5735294117647058,0.3448275862068966,0.7584830339321357,0.536741214057508,0.6953846153846154,0.6355140186915887,48
90,0.6146708540893269,0.5953075570461076,0.5930232558139535,0.33636363636363636,0.7946257197696737,0.5905707196029777,0.6389891696750902,0.6182728410513142,48
100,0.6564659684559243,0.6418733814329997,0.610062893081761,0.48627450980392156,0.7444933920704846,0.6465408805031446,0.7166666666666667,0.6472019464720195,48
0,0.5244995916310045,0.5082685911378827,0.5,0.36363636363636365,0.5443786982248521,0.5038961038961038,0.5682242990654206,0.5694760820045558,49
10,0.6018904748345967,0.5848133818120348,0.571992110453649,0.35185185185185186,0.7361111111111112,0.6172506738544474,0.7064220183486238,0.5252525252525253,49
20,0.6323097510145866,0.6214600826012325,0.600896860986547,0.4434389140271493,0.768595041322314,0.5951742627345844,0.7314662273476112,0.5891891891891892,49
30,0.5964481101169427,0.5815702776577749,0.6060606060606061,0.4158415841584158,0.6645264847512039,0.6173469387755102,0.5690021231422505,0.616643929058663,49
40,0.6535846400310714,0.6352966345142038,0.6488095238095238,0.39111111111111113,0.7824267782426778,0.6205923836389281,0.702954898911353,0.6658851113716295,49
50,0.6296537591663943,0.6171848909671384,0.5971830985915493,0.44285714285714284,0.7699115044247787,0.583941605839416,0.673469387755102,0.6357466063348416,49
60,0.6524194274942405,0.632551235084071,0.6076696165191741,0.41228070175438597,0.7748478701825557,0.6311688311688312,0.7068403908794788,0.6625,49
70,0.6366198638436014,0.6194269062828829,0.6060606060606061,0.41975308641975306,0.7331786542923434,0.6153846153846154,0.7044673539518901,0.6377171215880894,49
80,0.6405799572240459,0.629586441712111,0.6158357771260997,0.49169435215946844,0.7643312101910829,0.6295336787564767,0.6242544731610338,0.6518691588785047,49
90,0.6450430904474299,0.6370247792302105,0.6138613861386139,0.4796380090497738,0.7852760736196319,0.6116504854368932,0.7480190174326465,0.5837037037037037,49
100,0.6513622692257405,0.6470597735652402,0.6124401913875598,0.5482625482625483,0.7780126849894292,0.6050870147255689,0.7190635451505016,0.6194926568758344,49
0,0.5186121701480662,0.5078644922636917,0.49673202614379086,0.3870967741935484,0.5709281961471103,0.5362318840579711,0.5708812260536399,0.4853168469860896,50
10,0.550902479077487,0.5503697722956171,0.5120593692022264,0.46153846153846156,0.7515657620041754,0.5714285714285714,0.5633187772925764,0.4423076923076923,50
20,0.6261383533834448,0.6064998104966268,0.578005115089514,0.37438423645320196,0.7566539923954373,0.6261319534282018,0.7167449139280125,0.5870786516853933,50
30,0.6362277933881381,0.6315620731820438,0.6262135922330098,0.5384615384615384,0.7306889352818372,0.6309067688378033,0.6588235294117647,0.6042780748663101,50
40,0.6340262381776224,0.6267522762266219,0.621301775147929,0.49808429118773945,0.7558386411889597,0.619102416570771,0.6559714795008913,0.6102150537634409,50
50,0.6571860608961253,0.6512370657997234,0.6195652173913043,0.5517241379310345,0.7494356659142212,0.5954415954415955,0.7389830508474576,0.6522727272727272,50
60,0.6600712764004131,0.6507956447232838,0.6344410876132931,0.5136186770428015,0.7863247863247863,0.6359338061465721,0.6822262118491921,0.6522292993630573,50
70,0.6316109948012428,0.6208749268765795,0.6082191780821918,0.4444444444444444,0.7905982905982906,0.6104417670682731,0.671280276816609,0.600265604249668,50
80,0.6268131722534355,0.6141486663815273,0.6051282051282051,0.4542372881355932,0.7268408551068883,0.6201550387596899,0.6642984014209592,0.6142322097378277,50
90,0.6195794391150138,0.6050295593357707,0.6323907455012854,0.3605150214592275,0.7689320388349514,0.5786516853932584,0.6837060702875399,0.6059817945383615,50
100,0.6502811524187735,0.6415867801165998,0.6086956521739131,0.5070422535211268,0.7870182555780934,0.6408045977011494,0.7035175879396985,0.6024423337856174,50
0,0.544513399356813,0.5326508714530079,0.5421052631578948,0.4067796610169492,0.576271186440678,0.5447761194029851,0.5671077504725898,0.5588652482269504,51
10,0.6477918966429326,0.6466740200744238,0.6214689265536724,0.5615384615384615,0.7833333333333333,0.6048034934497817,0.7083333333333334,0.6005665722379604,51
20,0.638941748329066,0.6158826930265225,0.6350974930362117,0.3225806451612903,0.7612903225806451,0.6217142857142857,0.7206611570247934,0.6339522546419099,51
30,0.6635886191606667,0.6464826584114096,0.6109324758842444,0.4555984555984556,0.8031496062992126,0.6471408647140865,0.6938110749185668,0.6682634730538922,51
40,0.6273532583990149,0.6053826742556054,0.6174496644295302,0.30303030303030304,0.7872340425531915,0.5609397944199707,0.7140695915279879,0.6495726495726496,51
50,0.6136103527269515,0.6012379322152136,0.5934579439252337,0.40559440559440557,0.7482993197278912,0.6149936467598475,0.7009646302250804,0.5441176470588235,51
60,0.5776989621355682,0.5617005259470979,0.5487804878048781,0.3316582914572864,0.7437641723356009,0.5779716466739367,0.644808743169399,0.5232198142414861,51
70,0.6194624138555659,0.600315520939206,0.6089238845144357,0.3253588516746411,0.7722342733188721,0.5775862068965517,0.7115097159940209,0.606280193236715,51
80,0.6559079764472941,0.6466346911833036,0.6188925081433225,0.5,0.7974947807933194,0.584070796460177,0.7076923076923077,0.6716577540106952,51
90,0.6173992611374031,0.6021036298924777,0.5625,0.4132231404958678,0.7606679035250464,0.6099290780141844,0.6869712351945855,0.5793304221251819,51
100,0.6219186507322105,0.6162280847178875,0.589041095890411,0.5180722891566265,0.7840670859538784,0.6110509209100758,0.579957356076759,0.6151797603195739,51
