id,utterance_num,label
Ses01F_impro04_F032,67,ang
Ses01F_impro04_M035,68,fru
Ses01F_impro04_F033,69,ang
Ses01F_impro04_M036,70,-1
Ses01F_impro05_F000,0,fru
Ses01F_impro05_M000,1,neu
Ses01F_impro05_F001,2,fru
Ses01F_impro05_M001,3,hap
Ses01F_impro05_M002,4,hap
Ses01F_impro05_F002,5,fru
Ses01F_impro05_M003,6,neu
Ses01F_impro05_F003,7,fru
Ses01F_impro05_M004,8,neu
Ses01F_impro05_F004,9,fru
Ses01F_impro05_M005,10,neu
Ses01F_impro05_F005,11,fru
Ses01F_impro05_M006,12,neu
Ses01F_impro05_F006,13,-1
Ses01F_impro05_M007,14,neu
Ses01F_impro05_F007,15,fru
Ses01F_impro05_F008,16,ang
Ses01F_impro05_M008,17,neu
Ses01F_impro05_F009,18,ang
Ses01F_impro05_M009,19,neu
Ses01F_impro05_M010,20,neu
Ses01F_impro05_M011,21,neu
Ses01F_impro05_F010,22,-1
Ses01F_impro05_M012,23,neu
Ses01F_impro05_F011,24,ang
Ses01F_impro05_M013,25,neu
Ses01F_impro05_M014,26,neu
Ses01F_impro05_F012,27,ang
Ses01F_impro05_M015,28,neu
Ses01F_impro05_F013,29,-1
Ses01F_impro05_M016,30,neu
Ses01F_impro05_M017,31,neu
Ses01F_impro05_F014,32,ang
Ses01F_impro05_M018,33,-1
Ses01F_impro05_F015,34,ang
Ses01F_impro05_M019,35,neu
Ses01F_impro05_M020,36,neu
Ses01F_impro05_F016,37,ang
Ses01F_impro05_M021,38,-1
Ses01F_impro05_F017,39,ang
Ses01F_impro05_M022,40,neu
Ses01F_impro05_M023,41,neu
Ses01F_impro05_F018,42,ang
Ses01F_impro05_F019,43,ang
Ses01F_impro05_M024,44,neu
Ses01F_impro05_F020,45,ang
Ses01F_impro05_M025,46,neu
Ses01F_impro05_M026,47,neu
Ses01F_impro05_F021,48,ang
Ses01F_impro05_M027,49,neu
Ses01F_impro05_F022,50,ang
Ses01F_impro05_M028,51,neu
Ses01F_impro05_F023,52,ang
Ses01F_impro05_F024,53,ang
Ses01F_impro05_M029,54,neu
Ses01F_impro05_F025,55,ang
Ses01F_impro05_M030,56,neu
Ses01F_impro05_F026,57,ang
Ses01F_impro05_M031,58,neu
Ses01F_impro05_F027,59,-1
Ses01F_impro05_M032,60,sur
Ses01F_impro05_F028,61,ang
Ses01F_impro05_M033,62,sur
Ses01F_impro05_F029,63,ang
Ses01F_impro05_M034,64,neu
Ses01F_impro05_F030,65,ang
Ses01F_impro05_M035,66,neu
Ses01F_impro06_M000,0,sad
Ses01F_impro06_F000,1,-1
Ses01F_impro06_M001,2,neu
Ses01F_impro06_F001,3,-1
Ses01F_impro06_M002,4,neu
Ses01F_impro06_F002,5,sad
Ses01F_impro06_M003,6,sad
Ses01F_impro06_F003,7,neu
Ses01F_impro06_F004,8,neu
Ses01F_impro06_F005,9,sad
Ses01F_impro06_F006,10,sad
Ses01F_impro06_M004,11,neu
Ses01F_impro06_F007,12,sad
Ses01F_impro06_F008,13,sad
Ses01F_impro06_F009,14,neu
Ses01F_impro06_M005,15,neu
Ses01F_impro06_F010,16,sad
Ses01F_impro06_F011,17,sad
Ses01F_impro06_M006,18,neu
Ses01F_impro06_F012,19,sad
Ses01F_impro06_M007,20,sad
Ses01F_impro06_F013,21,sad
Ses01F_impro06_M008,22,neu
Ses01F_impro06_F014,23,sad
Ses01F_impro06_M009,24,neu
Ses01F_impro06_F015,25,sad
Ses01F_impro06_F016,26,neu
Ses01F_impro06_M010,27,neu
Ses01F_impro06_M011,28,neu
Ses01F_impro06_F017,29,-1
Ses01F_impro06_M012,30,neu
Ses01F_impro06_F018,31,neu
Ses01F_impro06_M013,32,neu
Ses01F_impro06_F019,33,neu
Ses01F_impro06_F020,34,sad
Ses01F_impro06_F021,35,sad
Ses01F_impro06_F022,36,sad
Ses01F_impro06_M014,37,neu
Ses01F_impro06_F023,38,sad
Ses01F_impro06_F024,39,sad
Ses01F_impro06_F025,40,sad
Ses01F_impro06_M015,41,neu
Ses01F_impro06_F026,42,sad
Ses01F_impro06_M016,43,neu
Ses01F_impro06_F027,44,neu
Ses01F_impro06_F028,45,sad
Ses01F_impro06_M017,46,-1
Ses01F_impro07_M000,0,exc
Ses01F_impro07_F000,1,exc
Ses01F_impro07_M001,2,exc
Ses01F_impro07_M002,3,exc
Ses01F_impro07_F001,4,-1
Ses01F_impro07_M003,5,exc
Ses01F_impro07_F002,6,exc
Ses01F_impro07_M004,7,exc
Ses01F_impro07_F003,8,exc
Ses01F_impro07_F004,9,exc
Ses01F_impro07_M005,10,exc
Ses01F_impro07_F005,11,exc
Ses01F_impro07_F006,12,-1
Ses01F_impro07_M006,13,exc
Ses01F_impro07_M007,14,exc
Ses01F_impro07_F007,15,-1
Ses01F_impro07_M008,16,exc
Ses01F_impro07_M009,17,exc
Ses01F_impro07_F008,18,-1
Ses01F_impro07_M010,19,-1
Ses01F_impro07_M011,20,-1
Ses01F_impro07_F009,21,exc
Ses01F_impro07_M012,22,neu
Ses01F_impro07_F010,23,exc
Ses01F_impro07_M013,24,neu
Ses01F_impro07_F011,25,-1
Ses01F_impro07_M014,26,exc
Ses01F_impro07_F012,27,exc
Ses01F_impro07_M015,28,exc
Ses01F_impro07_F013,29,exc
Ses01F_impro07_M016,30,-1
Ses01F_impro07_F014,31,-1
Ses01F_impro07_M017,32,exc
Ses01F_impro07_M018,33,neu
Ses01F_impro07_F015,34,-1
Ses01F_impro07_M019,35,hap
Ses01F_impro07_F016,36,exc
Ses01F_script01_3_F000,0,neu
Ses01F_script01_3_M000,1,neu
Ses01F_script01_3_F001,2,neu
Ses01F_script01_3_F002,3,neu
Ses01F_script01_3_M001,4,neu
Ses01F_script01_3_F003,5,neu
Ses01F_script01_3_M002,6,-1
Ses01F_script01_3_F004,7,neu
Ses01F_script01_3_M003,8,neu
Ses01F_script01_3_F005,9,neu
Ses01F_script01_3_M004,10,neu
Ses01F_script01_3_F006,11,neu
Ses01F_script01_3_M005,12,neu
Ses01F_script01_3_F007,13,neu
Ses01F_script01_3_M006,14,-1
Ses01F_script01_3_F008,15,neu
Ses01F_script01_3_M007,16,-1
Ses01F_script01_3_F009,17,neu
Ses01F_script01_3_F010,18,hap
Ses01F_script01_3_M008,19,hap
Ses01F_script01_3_F011,20,hap
Ses01F_script01_3_M009,21,hap
Ses01F_script01_3_F012,22,hap
Ses01F_script01_3_M010,23,hap
Ses01F_script01_3_F013,24,hap
Ses01F_script01_3_M011,25,-1
Ses01F_script01_3_F014,26,neu
Ses01F_script01_3_M012,27,-1
Ses01F_script01_3_F015,28,neu
Ses01F_script01_3_M013,29,-1
Ses01F_script01_3_F016,30,neu
Ses01F_script01_3_M014,31,sur
Ses01F_script01_3_F017,32,hap
Ses01F_script01_3_M015,33,hap
Ses01F_script01_3_F018,34,-1
Ses01F_script01_3_M016,35,hap
Ses01F_script01_3_M017,36,hap
Ses01F_script01_3_M018,37,-1
Ses01F_script01_3_F019,38,hap
Ses01F_script01_3_F020,39,hap
Ses01F_script01_3_M019,40,hap
Ses01F_script01_3_F021,41,hap
Ses01F_script01_3_M020,42,hap
Ses01F_script01_3_F022,43,neu
Ses01F_script01_3_F023,44,-1
Ses01F_script01_3_M021,45,sad
Ses01F_script01_3_F024,46,-1
Ses01F_script01_3_M022,47,sad
Ses01F_script01_3_F025,48,-1
Ses01F_script01_3_M023,49,sad
Ses01F_script01_3_F026,50,-1
Ses01F_script01_3_M024,51,sad
Ses01F_script01_3_F027,52,-1
Ses01F_script01_3_M025,53,sad
Ses01F_script01_3_F028,54,neu
Ses01F_script01_3_M026,55,sad
Ses01F_script01_3_F029,56,neu
Ses01F_script01_3_M027,57,sad
Ses01F_script01_3_F030,58,sad
Ses01F_script01_3_M028,59,sad
Ses01F_script01_3_M029,60,sad
Ses01F_script01_3_M030,61,sad
Ses01F_script01_3_M031,62,-1
Ses01F_script01_3_F031,63,neu
Ses01F_script01_3_M032,64,sad
Ses01F_script01_3_M033,65,sad
Ses01F_script01_3_M034,66,-1
Ses01F_script01_3_M035,67,-1
Ses01F_script01_3_M036,68,sad
Ses01F_script01_3_F032,69,-1
Ses01F_script01_3_M037,70,neu
Ses01F_script01_3_F033,71,-1
Ses01F_script01_3_F034,72,-1
Ses01F_script01_3_M038,73,-1
Ses01F_script01_3_F035,74,hap
Ses01F_script01_2_F000,75,-1
Ses01F_script01_2_M000,76,-1
Ses01F_script01_2_F001,77,-1
Ses01F_script01_2_M001,78,neu
Ses01F_script01_2_F002,79,-1
Ses01F_script01_2_M002,80,-1
Ses01F_script01_2_M003,81,fru
Ses01F_script01_2_F003,82,ang
Ses01F_script01_2_M004,83,neu
Ses01F_script01_2_F004,84,ang
Ses01F_script01_2_M005,85,-1
Ses01F_script01_2_F005,86,ang
Ses01F_script01_2_M006,87,fru
Ses01F_script01_2_F006,88,ang
Ses01F_script01_2_M007,89,fru
Ses01F_script01_2_F007,90,ang
Ses01F_script01_2_M008,91,neu
Ses01F_script01_2_F008,92,ang
Ses01F_script01_2_M009,93,fru
Ses01F_script01_2_F009,94,ang
Ses01F_script01_2_M010,95,fru
Ses01F_script01_2_F010,96,ang
Ses01F_script01_2_F011,97,ang
Ses01F_script01_2_M011,98,fru
Ses01F_script01_2_F012,99,ang
Ses01F_script01_2_M012,100,fru
Ses01F_script01_2_M013,101,fru
Ses01F_script01_2_F013,102,ang
Ses01F_script01_2_M014,103,fru
Ses01F_script01_2_M015,104,fru
Ses01F_script01_2_M016,105,-1
Ses01F_script01_2_F014,106,fru
Ses01F_script01_2_M017,107,ang
Ses01F_script01_1_F000,108,fru
Ses01F_script01_1_F001,109,-1
Ses01F_script01_1_M000,110,neu
Ses01F_script01_1_F002,111,sur
Ses01F_script01_1_M001,112,neu
Ses01F_script01_1_F003,113,-1
Ses01F_script01_1_M002,114,neu
Ses01F_script01_1_F004,115,-1
Ses01F_script01_1_M003,116,neu
Ses01F_script01_1_F005,117,neu
Ses01F_script01_1_M004,118,neu
Ses01F_script01_1_F006,119,-1
Ses01F_script01_1_M005,120,fru
Ses01F_script01_1_F007,121,-1
Ses01F_script01_1_M006,122,-1
Ses01F_script01_1_F008,123,-1
Ses01F_script01_1_M007,124,neu
Ses01F_script01_1_F009,125,fru
Ses01F_script01_1_M008,126,fru
Ses01F_script01_1_M009,127,fru
Ses01F_script01_1_F010,128,fru
Ses01F_script01_1_M010,129,neu
Ses01F_script01_1_F011,130,fru
Ses01F_script01_1_M011,131,fru
Ses01F_script01_1_F012,132,fru
Ses01F_script01_1_M012,133,neu
Ses01F_script01_1_F013,134,-1
Ses01F_script01_1_M013,135,fru
Ses01F_script01_1_F014,136,fru
Ses01F_script01_1_M014,137,neu
Ses01F_script01_1_F015,138,neu
Ses01F_script01_1_M015,139,neu
Ses01F_script01_1_F016,140,-1
Ses01F_script01_1_M016,141,neu
Ses01F_script01_1_F017,142,-1
Ses01F_script01_1_M017,143,neu
Ses01F_script01_1_F018,144,-1
Ses01F_script01_1_M018,145,fru
Ses01F_script01_1_F019,146,-1
Ses01F_script01_1_M019,147,ang
Ses01F_script01_1_F020,148,-1
Ses01F_script01_1_M020,149,fru
Ses01F_script01_1_F021,150,fru
Ses01F_script01_1_F022,151,fru
Ses01F_script01_1_M021,152,fru
Ses01F_script01_1_F023,153,fru
Ses01F_script01_1_M022,154,fru
Ses01F_script01_1_F024,155,fru
Ses01F_script01_1_M023,156,neu
Ses01F_script01_1_F025,157,fru
Ses01F_script01_1_M024,158,neu
Ses01F_script01_1_M025,159,neu
Ses01F_script01_1_F026,160,fru
Ses01F_script01_1_M026,161,fru
Ses01F_script01_1_F027,162,fru
Ses01F_script01_1_M027,163,fru
Ses01F_script01_1_F028,164,fru
Ses01F_script01_1_M028,165,fru
Ses01F_script01_1_F029,166,fru
Ses01F_script01_1_M029,167,fru
Ses01F_script01_1_M030,168,fru
Ses01F_script01_1_F030,169,fru
Ses01F_script01_1_F031,170,fru
Ses01F_script01_1_F032,171,fru
Ses01F_script01_1_F033,172,fru
Ses01F_script01_1_M031,173,fru
Ses01F_script01_1_F034,174,neu
Ses01F_script01_1_M032,175,fru
Ses01F_script01_1_M033,176,fru
Ses01F_script01_1_F035,177,ang
Ses01F_script01_1_M034,178,neu
Ses01F_script01_1_F036,179,-1
Ses01F_script01_1_M035,180,fru
Ses01F_script01_1_F037,181,ang
Ses01F_script01_1_M036,182,fru
Ses01F_script01_1_F038,183,ang
Ses01F_script01_1_M037,184,fru
Ses01F_script01_1_M038,185,fru
Ses01F_script01_1_F039,186,fru
Ses01F_script01_1_M039,187,neu
Ses01F_script01_1_F040,188,fru
Ses01F_script01_1_M040,189,neu
Ses01F_script01_1_F041,190,ang
Ses01F_script01_1_M041,191,fru
Ses01F_script01_1_F042,192,ang
Ses01F_script01_1_M042,193,fru
Ses01F_script01_1_F043,194,fru
Ses01F_script01_1_M043,195,fru
Ses01F_script01_1_F044,196,fru
Ses01F_script02_2_M000,0,exc
Ses01F_script02_2_F000,1,neu
Ses01F_script02_2_M001,2,exc
Ses01F_script02_2_F001,3,neu
Ses01F_script02_2_M002,4,neu
Ses01F_script02_2_F002,5,-1
Ses01F_script02_2_M003,6,-1
Ses01F_script02_2_F003,7,-1
Ses01F_script02_2_M004,8,fru
Ses01F_script02_2_F004,9,-1
Ses01F_script02_2_M005,10,-1
Ses01F_script02_2_F005,11,-1
Ses01F_script02_2_M006,12,neu
Ses01F_script02_2_F006,13,ang
Ses01F_script02_2_M007,14,fru
Ses01F_script02_2_F007,15,fru
Ses01F_script02_2_M008,16,fru
Ses01F_script02_2_F008,17,ang
Ses01F_script02_2_M009,18,fru
Ses01F_script02_2_F009,19,ang
Ses01F_script02_2_M010,20,fru
Ses01F_script02_2_F010,21,ang
Ses01F_script02_2_M011,22,fru
Ses01F_script02_2_F011,23,-1
Ses01F_script02_2_F012,24,fru
Ses01F_script02_2_M012,25,-1
Ses01F_script02_2_F013,26,fru
Ses01F_script02_2_M013,27,fru
Ses01F_script02_2_F014,28,-1
Ses01F_script02_2_F015,29,sad
Ses01F_script02_2_M014,30,fru
Ses01F_script02_2_F016,31,ang
Ses01F_script02_2_M015,32,fru
Ses01F_script02_2_M016,33,neu
Ses01F_script02_2_M017,34,neu
Ses01F_script02_2_F017,35,neu
Ses01F_script02_2_F018,36,-1
Ses01F_script02_2_F019,37,hap
Ses01F_script02_2_M018,38,-1
Ses01F_script02_2_F020,39,-1
Ses01F_script02_2_M019,40,neu
Ses01F_script02_2_F021,41,fru
Ses01F_script02_2_M020,42,fru
Ses01F_script02_2_F022,43,sad
Ses01F_script02_2_M021,44,neu
Ses01F_script02_2_M022,45,neu
Ses01F_script02_2_F023,46,neu
Ses01F_script02_2_M023,47,neu
Ses01F_script02_2_F024,48,-1
Ses01F_script02_2_M024,49,hap
Ses01F_script02_2_F025,50,fru
Ses01F_script02_2_M025,51,-1
Ses01F_script02_2_M026,52,hap
Ses01F_script02_2_F026,53,neu
Ses01F_script02_2_M027,54,oth
Ses01F_script02_2_M028,55,-1
Ses01F_script02_2_F027,56,fru
Ses01F_script02_2_M029,57,-1
Ses01F_script02_2_F028,58,-1
Ses01F_script02_2_M030,59,-1
Ses01F_script02_2_F029,60,fru
Ses01F_script02_2_M031,61,fru
Ses01F_script02_2_M032,62,fru
Ses01F_script02_2_F030,63,fru
Ses01F_script02_2_M033,64,neu
Ses01F_script02_2_F031,65,-1
Ses01F_script02_2_M034,66,-1
Ses01F_script02_2_F032,67,fru
Ses01F_script02_2_M035,68,fru
Ses01F_script02_2_F033,69,fru
Ses01F_script02_2_M036,70,fru
Ses01F_script02_2_F034,71,sad
Ses01F_script02_2_F035,72,sad
Ses01F_script02_2_M037,73,sad
Ses01F_script02_2_F036,74,sad
Ses01F_script02_2_M038,75,sad
Ses01F_script02_2_F037,76,sur
Ses01F_script02_2_M039,77,sur
Ses01F_script02_2_F038,78,sur
Ses01F_script02_2_F039,79,-1
Ses01F_script02_2_F040,80,sad
Ses01F_script02_2_M040,81,neu
Ses01F_script02_2_F041,82,neu
Ses01F_script02_2_M041,83,fru
Ses01F_script02_2_M042,84,neu
Ses01F_script02_2_F042,85,hap
Ses01F_script02_2_M043,86,neu
Ses01F_script02_2_M044,87,hap
Ses01F_script02_2_F043,88,hap
Ses01F_script02_2_M045,89,-1
Ses01F_script02_2_F044,90,hap
Ses01F_script02_2_M046,91,hap
Ses01F_script02_2_M047,92,neu
Ses01F_script02_2_F045,93,hap
Ses01F_script02_2_F046,94,sad
Ses01F_script02_2_M048,95,neu
Ses01F_script02_2_F047,96,neu
Ses01F_script02_2_M049,97,hap
Ses01F_script02_1_M000,98,-1
Ses01F_script02_1_M001,99,-1
Ses01F_script02_1_F000,100,neu
Ses01F_script02_1_M002,101,exc
Ses01F_script02_1_M003,102,-1
Ses01F_script02_1_F001,103,fru
Ses01F_script02_1_M004,104,-1
Ses01F_script02_1_M005,105,-1
Ses01F_script02_1_F002,106,-1
Ses01F_script02_1_M006,107,-1
Ses01F_script02_1_F003,108,sur
Ses01F_script02_1_M007,109,neu
Ses01F_script02_1_F004,110,neu
Ses01F_script02_1_M008,111,neu
Ses01F_script02_1_F005,112,-1
Ses01F_script02_1_M009,113,neu
Ses01F_script02_1_F006,114,ang
Ses01F_script02_1_M010,115,neu
Ses01F_script02_1_F007,116,ang
Ses01F_script02_1_M011,117,neu
Ses01F_script02_1_M012,118,fru
Ses01F_script02_1_M013,119,neu
Ses01F_script02_1_F008,120,neu
Ses01F_script02_1_M014,121,neu
Ses01F_script02_1_M015,122,neu
Ses01F_script02_1_M016,123,exc
Ses01F_script02_1_F009,124,hap
Ses01F_script02_1_M017,125,-1
Ses01F_script02_1_F010,126,sad
Ses01F_script02_1_M018,127,fru
Ses01F_script02_1_F011,128,-1
Ses01F_script02_1_M019,129,-1
Ses01F_script02_1_F012,130,-1
Ses01F_script02_1_M020,131,neu
Ses01F_script02_1_F013,132,-1
Ses01F_script02_1_M021,133,neu
Ses01F_script02_1_F014,134,fru
Ses01F_script02_1_M022,135,fru
Ses01F_script02_1_F015,136,neu
Ses01F_script02_1_M023,137,neu
Ses01F_script02_1_F016,138,-1
Ses01F_script02_1_M024,139,neu
Ses01F_script02_1_F017,140,fru
Ses01F_script02_1_M025,141,neu
Ses01F_script02_1_M026,142,neu
Ses01F_script02_1_F018,143,-1
Ses01F_script02_1_M027,144,fru
Ses01F_script02_1_F019,145,fru
Ses01F_script02_1_M028,146,-1
Ses01F_script02_1_M029,147,neu
Ses01F_script02_1_F020,148,-1
Ses01F_script02_1_M030,149,sur
Ses01F_script02_1_F021,150,fru
Ses01F_script02_1_M031,151,neu
Ses01F_script02_1_M032,152,neu
Ses01F_script02_1_F022,153,-1
Ses01F_script02_1_M033,154,neu
Ses01F_script02_1_F023,155,fru
Ses01F_script02_1_M034,156,neu
Ses01F_script02_1_M035,157,exc
Ses01F_script02_1_M036,158,hap
Ses01F_script02_1_M037,159,-1
Ses01F_script02_1_M038,160,exc
Ses01F_script02_1_M039,161,-1
Ses01F_script02_1_M040,162,exc
Ses01F_script02_1_M041,163,-1
Ses01F_script02_1_M042,164,-1
Ses01F_script02_1_F024,165,neu
Ses01F_script02_1_M043,166,hap
Ses01F_script02_1_F025,167,neu
Ses01F_script02_1_M044,168,hap
Ses01F_script03_1_M000,0,fea
Ses01F_script03_1_F000,1,fea
Ses01F_script03_1_M001,2,fea
Ses01F_script03_1_F001,3,fea
Ses01F_script03_1_M002,4,fea
Ses01F_script03_1_F002,5,fea
Ses01F_script03_1_M003,6,fea
Ses01F_script03_1_M004,7,-1
Ses01F_script03_1_F003,8,-1
Ses01F_script03_1_M005,9,exc
Ses01F_script03_1_F004,10,-1
Ses01F_script03_1_M006,11,-1
Ses01F_script03_1_M007,12,hap
Ses01F_script03_1_F005,13,hap
Ses01F_script03_1_M008,14,hap
Ses01F_script03_1_F006,15,exc
Ses01F_script03_1_M009,16,hap
Ses01F_script03_1_F007,17,exc
Ses01F_script03_1_M010,18,hap
Ses01F_script03_1_F008,19,-1
Ses01F_script03_1_M011,20,-1
Ses01F_script03_1_F009,21,-1
Ses01F_script03_1_M012,22,-1
Ses01F_script03_1_F010,23,hap
Ses01F_script03_1_M013,24,hap
Ses01F_script03_1_F011,25,hap
Ses01F_script03_1_M014,26,-1
Ses01F_script03_1_F012,27,exc
Ses01F_script03_1_M015,28,-1
Ses01F_script03_1_M016,29,-1
Ses01F_script03_1_F013,30,-1
Ses01F_script03_1_M017,31,-1
Ses01F_script03_1_F014,32,-1
Ses01F_script03_1_M018,33,hap
Ses01F_script03_1_F015,34,-1
Ses01F_script03_1_M019,35,-1
Ses01F_script03_1_F016,36,-1
Ses01F_script03_1_M020,37,-1
Ses01F_script03_1_F017,38,-1
Ses01F_script03_1_M021,39,exc
Ses01F_script03_1_F018,40,-1
Ses01F_script03_1_M022,41,-1
Ses01F_script03_1_F019,42,-1
Ses01F_script03_1_M023,43,-1
Ses01F_script03_1_M024,44,exc
